3151,165.0,479.7,21.2,43.6,-3.5,29.6,7,310
5040,165.0,496.6,32.8,-30.9,39.1,45.8,9,408
5113,165.0,729.3,32.8,24.9,44.7,45.8,11,478
3100,165.0,623.3,21.2,44.5,79.5,29.6,14,537
3108,165.0,535.8,21.2,63.5,68.7,29.6,14,541
5122,165.0,578.2,32.8,41.5,94.9,45.8,14,567
3054,165.0,503.0,21.2,-54.6,-21.7,29.6,,594
4050,165.5,402.3,26.5,-57.7,-25.4,37.1,3,142
1034,166.5,549.1,18.5,-24.2,18.7,26.0,6,239
4020,170.0,392.7,26.5,-27.1,-57.1,38.1,1,38
4043,170.0,433.7,26.5,-63.4,-42.3,38.1,3,135
5107,170.0,410.8,32.8,55.8,10.5,47.2,7,338
4132,170.0,651.9,26.5,47.7,39.1,38.1,10,438
3084,170.0,371.0,21.2,-17.7,72.4,30.5,,598
1007,172.5,601.6,18.5,29.8,-36.0,27.0,4,166
3138,172.5,533.7,21.2,20.2,-19.2,30.9,4,182
3159,172.5,358.8,21.2,60.0,8.3,30.9,7,316
3091,172.5,489.7,21.2,20.0,68.6,30.9,13,510
4174,172.5,448.9,26.5,5.5,87.3,38.7,13,515
4027,172.5,518.9,26.5,-38.0,-60.7,38.7,,609
4012,175.0,591.0,26.5,-8.9,-87.5,39.2,1,30
2004,175.0,386.9,20.1,14.6,-48.8,29.7,2,60
2048,175.0,516.8,20.1,-70.1,-48.8,29.7,3,109
1011,175.0,613.7,18.5,31.4,-21.5,27.4,4,170
2058,175.0,752.1,20.1,-20.2,-2.9,29.7,5,221
4067,175.0,563.4,26.5,-29.2,11.8,39.2,6,273
5108,175.0,491.3,32.8,50.7,15.1,48.6,7,339
2021,175.0,546.4,20.1,-40.4,-70.4,29.7,,584
4062,175.5,336.6,26.5,-52.1,7.6,39.3,6,268
4123,176.0,706.5,26.5,15.3,41.1,39.4,8,358
5020,176.5,468.5,32.8,-59.1,-45.7,49.0,3,149
1022,177.5,318.0,18.5,-7.3,-39.1,27.7,2,57
2072,177.5,711.3,20.1,-8.8,34.2,30.2,9,386
2073,177.5,707.6,20.1,-10.5,37.8,30.2,9,387
5065,177.5,492.4,32.8,56.1,82.2,49.3,14,560
5035,180.0,383.7,32.8,-47.6,23.6,50.0,6,288
3080,180.0,446.8,21.2,-35.8,48.2,32.3,9,395
1036,180.0,661.4,18.5,46.9,34.6,28.1,10,427
3180,180.0,651.4,21.2,-3.7,-19.3,32.3,,603
5111,181.0,526.8,32.8,-31.5,28.0,50.2,6,292
4156,181.0,604.2,26.5,42.7,19.3,40.6,7,329
4116,181.0,614.3,26.5,42.5,56.1,40.6,11,464
4117,181.0,635.5,26.5,39.9,51.7,40.6,11,465
4113,181.0,526.8,26.5,56.4,61.0,40.6,,619
3182,182.5,614.8,21.2,-2.5,-24.7,32.7,4,189
4139,182.5,840.1,26.5,18.3,30.6,40.9,8,365
5068,182.5,582.5,32.8,51.6,66.6,50.6,14,563
4176,183.0,553.9,26.5,64.3,43.5,41.0,10,443
5109,183.0,548.6,32.8,53.0,21.1,50.8,,636
3179,186.0,680.5,21.2,-2.7,-11.4,33.3,4,188
5112,186.0,757.9,32.8,12.9,28.7,51.6,8,373
3079,186.0,438.8,21.2,-39.5,46.3,33.3,9,394
4130,186.0,687.9,26.5,35.4,45.6,41.7,11,474
4101,186.0,468.0,26.5,54.3,87.8,41.7,14,549
5125,186.0,590.4,32.8,35.0,67.6,51.6,14,568
5118,186.0,389.6,32.8,-12.5,67.1,51.6,,637
5121,186.0,433.0,32.8,4.2,74.6,51.6,,638
2120,186.5,686.9,20.1,2.6,30.2,31.7,,588
3033,187.5,270.3,21.2,-9.8,-48.7,33.6,2,71
4142,187.5,674.2,26.5,-6.5,-7.9,42.0,5,227
3177,187.5,510.9,21.2,-41.2,-22.4,33.6,6,255
3097,187.5,576.1,21.2,27.4,92.8,33.6,14,536
1026,188.5,464.8,18.5,-62.0,-33.9,29.5,3,102
3092,190.5,604.2,21.2,26.8,77.7,34.1,,599
5007,191.0,305.2,32.8,18.3,-51.9,53.0,2,85
4171,191.0,665.2,26.5,2.3,-7.6,42.8,4,199
3186,191.0,645.0,21.2,-32.0,-17.0,34.2,6,257
3188,191.0,613.7,21.2,-33.5,33.4,34.2,6,258
4054,191.0,462.7,26.5,-48.8,-16.9,42.8,6,261
3117,191.0,751.0,21.2,23.2,38.1,34.2,8,352
2078,191.0,670.5,20.1,-7.7,30.1,32.5,9,392
5044,191.0,408.1,32.8,-24.9,58.9,53.0,9,412
2103,191.0,573.5,20.1,48.5,79.8,32.5,14,532
3105,191.0,610.6,21.2,50.5,71.3,34.2,14,539
5090,192.0,479.7,32.8,7.4,80.4,53.3,13,521
4031,193.5,490.8,26.5,-54.7,-49.9,43.4,3,124
5072,193.5,552.8,32.8,61.5,52.1,53.7,10,445
3113,194.0,607.4,21.2,49.6,30.5,34.8,10,431
3169,194.5,472.2,21.2,48.8,9.9,34.9,7,323
4111,194.5,526.8,26.5,68.2,40.7,43.6,10,434
1017,194.5,624.3,18.5,32.4,63.7,30.4,11,462
3101,194.5,609.0,21.2,33.3,72.1,34.9,14,538
1018,195.5,744.1,18.5,14.6,24.0,30.6,8,348
1027,196.0,570.3,18.5,-26.2,-76.7,30.6,1,6
2011,196.0,601.0,20.1,2.6,-72.7,33.3,1,8
1029,196.0,364.6,18.5,-12.6,-39.4,30.6,2,58
5120,196.0,391.7,32.8,-53.6,1.9,54.4,6,293
3083,196.0,395.9,21.2,-21.7,63.0,35.1,9,398
4120,196.0,684.8,26.5,27.5,55.8,43.9,11,468
4089,196.0,538.0,26.5,12.8,67.9,43.9,12,494
4108,196.0,568.2,26.5,40.8,62.6,43.9,14,556
5063,199.0,618.0,32.8,21.6,73.4,55.2,13,519
1008,199.5,553.3,18.5,40.0,-15.4,31.2,4,167
